0,17,"03/13/2024,"good session","hi, hello, bye"
0,2,"03/13/2024,"null",""
0,3,"03/13/2024,"null",""
0,5,"03/13/2024,"null",""
0,7,"03/13/2024,"null",""
0,9,"03/13/2024,"null",""
0,11,"03/13/2024,"null",""
0,13,"03/13/2024,"null",""
0,15,"03/13/2024,"null",""
0,16,"03/13/2024,"null",""
0,1,"03/13/2024,"null",""
0,18,"03/13/2024,"null","bye, goodbye"
0,4,"03/13/2024,"null",""
0,6,"03/13/2024,"null",""
0,8,"03/13/2024,"null",""
0,10,"03/13/2024,"null",""
0,12,"03/13/2024,"null",""
0,14,"03/13/2024,"null",""
